id,produto,url,scraped,data_cadastro
21,cartucho hp 667 original,https://www.mercadolivre.com.br/cartucho-tinta-tricolor-667xl-hp/p/MLB22653316#polycard_client=search-nordic&searchVariation=MLB22653316&wid=MLB5151202986&position=19&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,1,2025-06-16 03:14:48
22,cartucho hp 667 original,https://www.mercadolivre.com.br/cartucho-hp-667-xl-black-original/up/MLBU1436486297#polycard_client=search-nordic&searchVariation=MLBU1436486297&wid=MLB2940953349&position=21&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,1,2025-06-16 03:14:48
23,cartucho hp 667 original,https://produto.mercadolivre.com.br/MLB-3208180972-kit-2-cartucho-hp-667-667xl-deskjet-2776-preto-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB3208180972&sid=search,1,2025-06-16 03:14:48
24,cartucho hp 667 original,https://www.mercadolivre.com.br/kit-com-2-cartuchos-hp-667-preto-2ml-3ym79ab/p/MLB49087253#polycard_client=search-nordic&searchVariation=MLB49087253&wid=MLB4056593427&position=13&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,1,2025-06-16 03:14:48
25,cartucho hp 667 original,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=uGYTovMAZDrVexkglNuB212WdFIGWV%2FYcSvdqUZJceOFuzmGAYz3x%2BSOya4WJ6Q8xVA8w1KlMau%2BTkqCDCbyRIe0AFYXD4sOok5PNMO11Qb%2BxZNjwJNxmEtvjnK1RrYigQdYQ527a0gQzSTKPLKdSS2nnmF85tun5TlXOW5YshhYs7uzW0Dr%2BPZi4ibuqPVJXPrt3HdDWTQ3KUF9Fa4JP7KSvL%2Bxfe3CPjJfmziVDn1dUpYFBZgEJjPgwOK1US%2F1%2FRhnd3WzAW8PusBYh7onrjaS3WRMVok7mK%2BWzMsv9zTdjv3tu52oh0ETRCtUW%2FiB%2FziYgebX23QGGzoBaeiOwX5eF4uvrLLYztLkrIGWJwNyfzz4MYjBMek1FCXbbY2a39haBL3Glna01m%2FlGbBjerBXKMp5cMPr5B8wd6iNmQYvMgpoOioKicuBuQYCKPR%2BY6uViYejWNSJFnV%2FaA69q6D50%2B8hX8mLZYFD66qElDoc%2FbVu34M7K8XtWSbyQ4jg1uHWcaix%2BBFAiHzIuF9GWamsY95XyXSWpDS%2FK03zbAuiXb5XW%2BZJ%2FAipu6%2BZCIdxTpb459Q81B90GU3jZQxcTm07VzGX%2FKRD0QGGJIMP1ks4gZWc4l%2B4bvYzTS1voumdgt7S088I8eyes9L%2F%2FTJSeFQmhHBeqJEYOWxY0IsixGg7EHTiuIRFbTBWaRH6gebBtZ8utZSJXLe%2FOcnMkpm2CpruZ3NurDzryN3eN1B%2FJKWQ7M%2FVaOYVr2jctxkLTgph9ahwPa%2BQa0ZWi2yu9tuC0Mu0sIZg6aUXbcsaI9LVDEVz9W%2F%2FvG2VAqVND1Vxrlj5HgB%2BrGq1N%2BE9EPHvTnoMGuRJPNbbiw%3D%3D#polycard_client=search-nordic&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB2813292506&sid=search,1,2025-06-16 03:14:48
26,cartucho hp 667 original,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=CNV7%2BZi%2B8b267vgJ77f8Vn9OHO1iXY3n7QWu3MKP60qtSecAMBuCx9SFbC0K0PkJhHrwhYrg6F%2B8nc2WwmKk6KRzwTKz%2B1kgYPiqwvX6%2BZ%2BbhpoR7QTbrWncrAPJnxNDCL0KcGNNIyikvYeN5brj5Y6G7jgltmywfRu8iyr4%2FlYGfaDj%2FesY4YTLUHm4ujY3JuQ1AnJjUDn2vmXYSjTwUitkg3xpwN1s4QNKpP%2F5eMpDu9n8xEntbNEHwisiuc1tn0KLqm3Q0StlaQuEiTQMr5b8yJsfyfQp4oG%2Bq9OY4CjfXaIt2dwu0dEdwFk240tIuEukaIUIT97ZF1ggYe6gnnzA14o%2BqM%2F5%2BxDS5L5P4g6DDRWrBSAnp3TYQIDNB5NwDVPZun6EmohftaV3c9%2F4jVMboz53G1sjjjw31JzdRl%2FQ8hBojpAhfXBCcqMyVOLyNRoIvO1gKK5VqsK%2FxUJb0amG2aVa5vhLb2x8FI3bBj%2BMl9VSm4PwtxGZbuhnd7aGv1wA5KJar2X9pj9xQNUOzVn3Qxf2398ZbRbr9WMVGakq5%2B2Fmvkm1dUF0%2FO81qZii0TcDzEfmRghihxv98RApx7I5ta6AFFfKZDJZYtmIhEwUmBWrIq8dptmnJp5sSC8biaPU9OIzokdxr1%2Blm4sxdN939D%2FxmIiFh927T4WB1xy%2FTh6WAzqozlo%2BT6GhzuNDc56oP0ZAt5AXIYQtFaojyLcFjWd3IbpsjsnE6wG%2FyunQE%2BrdDylQUt6BLc%2FE4Q68CIe4RuDRRN893n7ToJ%2FETRbhKmQCGlW3rSUb3cPt63uyR5MJPDopRi4b2cJ7BI1JV4LpAgCO24sqTzwl%2FLFEtzb2D1pjA%3D%3D#polycard_client=search-nordic&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB1807118313&sid=search,1,2025-06-16 03:14:48
27,cartucho hp 667 original,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=KO5w0LUIZUZdor7pVkW12%2Fz6jx6g793YSjUXEr0lecLKtC6hcJxtSRAz0%2F1pyO7tU%2F%2BmTWUkpVb2jRoc50QnJuYQyvpINSwaT9wufMyca11F5vGxF1DcjY1gE%2BDTbgdP4cFtCv6twinocEyGqRqtv4EJOsX9Q%2BflDeMBTtYCtJPMGPc%2FLOO8Os8IxKLQA5Yo9ObnKLTnzIhzU0WP2XO2HPbS7JaEo%2BqOaTC8lWm9rQzGsI%2BGptvCuw%2BdK763jri21f1%2Blcaxor%2B%2B8jex9WGlcUrQ9l7KOt2VMsBf1ACkizYB01fsEIehNiiR%2FF0cT7JrW1bsUj4bEvFWM4x8HgSqX9NLEJ3AKmG4orllfIIBtr8hXMJBJ45pS1lCSD7kD31dRfQ7%2FxkiGkphg9hF21b7w8tFjIvOY9klqk4ABuir31b22v5l3xGHb3sOxWRx8fXTXCmnEr2v2wxkdyba3KrahKTyQVtcfJ5yGcRRcWznr9kWIbEqUMfU%2F8uXWdwgfKqDb7pvgMQHZvm1rvMN%2BMzZ5Zh1EfdoPRZ5P5boMJxGdPZ%2BEQvcj%2FV99itX%2FnCObybojZkdz2EN4EcnRu4hhIc%2FE80fxcmdZfLc8iYSRDic6%2BpNnaoDEsLRfMsI6WdUL6VTmTGW0Y1JDau6WI5nUjeydmLz%2F5QwousA0LqzURtd7q%2FcMy%2FK1Glvbt1lDR6%2BcNCCTulJ0JtvU5gBsmn1DgH0IiZUwvow%2FDMfMrbhBJlMFP3woSpaKnLGQ5TXbU1RflwOm6QSmH3zOiqhFfKolC1MH68%2BEnt6U2lBf9JITf1KpFukNxsMpPhLOg1CK2BaOmcMGUzWSXX3k5jzZcjc5G6yfAqhs0aM#polycard_client=search-nordic&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB2813311538&sid=search,1,2025-06-16 03:14:48
28,cartucho hp 667 original,https://www.mercadolivre.com.br/cartucho-tinta-tricolor-667-hp/p/MLB22546333#polycard_client=search-nordic&searchVariation=MLB22546333&wid=MLB3750409891&position=23&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,1,2025-06-16 03:14:48
29,cartucho hp 667 original,https://produto.mercadolivre.com.br/MLB-1953458246-kit-cartuchos-hp-667-preto-color-2374-a-2376-2775-2776-6475-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB1953458246&sid=search,1,2025-06-16 03:14:48
30,cartucho hp 667 original,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664-1un-preto-1un-color/p/MLB39028313#polycard_client=search-nordic&searchVariation=MLB39028313&wid=MLB3968119643&position=28&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,1,2025-06-16 03:14:48
